text,label
"under my windoowww &#8220;@brettcanfly: Bleaching your teeth, smiling flash, talking trash, under your breath&#8221;",neutral
i feel her fond embrace,love
"""@Blackman38Tide: @WhaleLookyHere @HowdyDowdy11 queer"" gaywad",hate
Man there's a lot of fat bitches here,offensive
i hate feeling melancholy,sadness
im going to share about my thoughts and feelings the things i wonder the things i am curious about the questions that i needed answers,surprise
im feeling a little nervous about winter to be honest,fear
"her ""friends"" said I was shallow, conceited and controlling. I grabbed her wrist and said ""never talk to those fat jealous bitches again!""",offensive
i feeling cool in shanghai kate henshaw worksout in vegas width xid,joy
i cant help but feel impressed and naiinspire ako na to get my lazy ass out of my seat and do something about the world,surprise
i can express whatever im feeling whether it a funny picture or a large and pointless rant,surprise
i was relaxed and didnt feel nervous at all so hopefully ill be able to maintain that for my next parties,fear
i feel impatient to meet the little person swimming around in my torso,anger
i feel because your copy of the effort so i treasured such a wait for my time then is the precipitate with rich fragrance,love
i am feeling slightly unsure of how to proceed with my life and want to share my journey past present and future with the world,fear
Weekend is here. What an amazing week this has been. Let's use this extended weekend to celebrate our successes my fellow queer folk.,neutral
the first step towards getting somewhere is to decide that you are not going to stay where you are,inspirational
@KLSouth @Miss_Didi23 is an evil hate whitey racist who thinks Delbert Belton deserved it. @MaryForbes14 @EnemiesofDonnaJ @StephAnnAnson,hate
i feel ecstatic about my new advertisers and also rushed because it means more work,joy
i feel so totally distracted,anger
if it s going to be a world with no time for sentiment it s not a world that i want to live in,inspirational
i woke up this morning feeling jealous of all of those women who conceive quickly until i realised i was one of those women,anger
i feel tortured by this,fear
i feel treasured i feel love,love
"@AnthonyCumia 
You be totally correct Anthony. Can&#8217;t be livin round dem colored folk. Day be bringin down da hood and dem propery value",hate
i feel as though i am going to be victimized,sadness
i had some trouble focusing on will completely in some of those moments because my blood pressure was making me feel funny but overall it was ok and thankfully didnt last long,surprise
ive learned to feel safe and secure and welcome and wanted after feeling like an outsider for more than a quarter of a century of life,joy
@sizzurp__ @bootyacid @ILIKECATS74 @yoPapi_chulo yeah ok nigger.,hate
i hate feeling victimized for something i didnt do,sadness
i feel being compassionate with myself and others how the wind responds and communicates when you tune in to it the simplicity of a good cheap wine,love
i feel that it can be very valuable to have students aware of what is written in their ieps and why were work on certain things,joy
be careful the stories you re telling yourself about your current circumstances a head full of negative thoughts has no space for positive ones,inspirational
i accept aswell been in the abominable bearings of getting in accessible with an unobedient dog and i can say i feel the affliction of the agitated parent,anger
there s more to life than dating the boy on the football team,inspirational
i really feel like theres nothing beneath me supporting me emotionally,love
RT @the_ironsheik: Alex Rodriguez you lucky only the Ryan Dempster hit you. I going to get my camel to break your neck you son of a bitch,offensive
the future doesn t belong to the light hearted it belongs to the brave,inspirational
i sang well but feel strangely dissatisfied because my performance wasnt perfect,anger
Man that nigga Courage always bein a bitch. HIT DAT SHIT LIL NIGGA http://t.co/k3cb7YVVGY,offensive
i began to notice an underlying feeling of discontent that i couldn t quite figure out,sadness
i knew she was taking in every word trying desperately to find something to make her feel more at ease in the awful waiting period between where you left and where you want to be,sadness
i mean i could tell her anything without even feel a bit hesitant but now,fear
i was feeling more energetic this morning so amongst my plethera of errands i went to trader joes and bought stuff for juicing and i juiced for about an hour trying out some new recipes,joy
i really wished it hadn t happened so i could feel trusting and safe in the world but instead it has left me with goose bumps and feeling really afraid which frustrated me,joy
i and basically make me feel like a a petrified year old kid with snot running down her nose,fear
i realized that pride is a feeling that has nothing to do with sexuality and any intelligent human being would understand that,joy
i am not alone with this disease and also that vitamins can have a huge impact on how you feel gentle hugs please dont beat yourself up on top of what fibro is doing,love
"@CHARLESBARRKLEY hey Sir house nigger, uncle tom aren't you from grand ole Mississippi, I rest my case!",hate
